cell_type,rank,cl_id,accepted_label,notes
Bergmann glia,1,,,reviewed example: exact CL label is Bergmann glial cell
Airway smooth muscle cells,1,,,reviewed manually
Anterior pituitary gland cells,1,,,reviewed manually
Interneurons,1,CL:0000099,interneuron,Accepted broad CL term; PanglaoDB label is plural.
Neurons,1,CL:0000540,neuron,Accepted broad neuron class.
Endothelial cells,1,CL:0000115,endothelial cell,Accepted broad endothelial cell class.
Fibroblasts,1,CL:0000057,fibroblast,Accepted broad fibroblast class.
Germ cells,1,CL:0000586,germ cell,Accepted broad germ cell class.
Mast cells,1,CL:0000097,mast cell,Accepted broad mast cell class.
Hepatocytes,1,CL:0000182,hepatocyte,Accepted exact liver parenchymal cell label.
Enterocytes,1,CL:0000584,enterocyte,Accepted intestinal absorptive epithelial cell label.
Macrophages,1,CL:0000235,macrophage,Accepted broad macrophage class.
Epithelial cells,1,CL:0000066,epithelial cell,Accepted broad epithelial cell class.
Olfactory epithelial cells,,,,Uncertain: PanglaoDB label may mean olfactory sensory neurons or olfactory epithelial support/basal cells; do not force a single CL mapping without tissue/marker review.
Dendritic cells,1,CL:0000451,dendritic cell,Accepted broad dendritic cell class.
Platelets,1,CL:0000233,platelet,Accepted platelet/thrombocyte mapping.
Adipocytes,1,CL:0000136,adipocyte,Accepted broad adipocyte class.
B cells,1,CL:0000236,B cell,Accepted broad B lymphocyte class.
T cells,1,CL:0000084,T cell,Accepted broad T lymphocyte class.
Cardiomyocytes,1,CL:0000746,cardiac muscle cell,Accepted cardiomyocyte/cardiac muscle cell mapping.
Monocytes,1,CL:0000576,monocyte,Accepted broad monocyte class.
NK cells,1,CL:0000623,natural killer cell,Accepted NK cell mapping.
Endothelial cells (aorta),1,CL:0002543,aortic endothelial cell,Accepted tissue-specific endothelial mapping.
Podocytes,1,CL:0000653,podocyte,Accepted kidney podocyte mapping.
Myocytes,,,,"Uncertain: PanglaoDB label is broad and may refer to skeletal, smooth, or cardiac muscle cells depending on organ; do not force a subtype."
Oligodendrocytes,1,CL:0000128,oligodendrocyte,Accepted CNS glial cell mapping.
Hematopoietic stem cells,1,CL:0000037,hematopoietic stem cell,Accepted HSC mapping.
Plasma cells,1,CL:0000786,plasma cell,Accepted antibody-secreting B lineage cell mapping.
